text,label
Urgent action required to secure your bank account,1
Verify your account immediately to avoid suspension,1
Your OTP is 456789 do not share with anyone,1
Click the link to update your payment information,1
Your PayPal account has been limited temporarily,1
Confirm your identity to avoid account closure,1
Security alert unusual login detected on your account,1
Reset your password now to continue using services,1
Your ATM card has been blocked please update KYC,1
Congratulations you won a prize claim now,1
Income tax refund available click here,1
Your mobile number will be disconnected today,1
Urgent update your Aadhaar details immediately,1
Bank alert suspicious transaction detected,1
Verify your email to prevent permanent deactivation,1
Your loan application is approved click link,1
Your account will be deleted within 24 hours,1
Payment failed update card details now,1
Your wallet balance will expire soon,1
Claim your cashback reward instantly,1
Important notice regarding your electricity bill,1
Your Netflix subscription has expired update payment,1
Your Google account has been compromised,1
Confirm delivery address immediately,1
Suspicious activity found in your account,1
Free voucher waiting for you claim today,1
Urgent salary credit verification required,1
Your email storage is full click to upgrade,1
Verify PAN details to avoid penalty,1
Final warning update account information,1
Invoice attached please review,0
Team meeting scheduled tomorrow at 10am,0
Project submission deadline extended,0
Your leave request has been approved,0
Monthly salary credited successfully,0
Class timetable updated for next semester,0
Here is the report you requested,0
Please find the attached document,0
Reminder submit assignment by Friday,0
Welcome to the training program,0
Thank you for your payment,0
Your order has been shipped successfully,0
Meeting rescheduled to next Monday,0
Lunch break extended today,0
System maintenance scheduled tonight,0
Your password was changed successfully,0
Your complaint has been registered,0
Workshop registration confirmed,0
Your application has been received,0
Team outing planned this weekend,0
Document approval completed,0
Internal audit meeting scheduled,0
Your feedback has been recorded,0
Course materials uploaded to portal,0
Attendance report available,0
Exam timetable released,0
Your ticket has been booked successfully,0
Payment received for invoice number 1234,0
Project review meeting at 3 PM,0
Holiday declared tomorrow,0
Your profile was updated successfully,0
New policy document shared,0
Training session starts at 9 AM,0
Library book due date reminder,0
Your request has been processed,0
Class canceled due to maintenance,0
Welcome email for new employee,0
System access granted,0
Minutes of meeting attached,0
Performance review scheduled,0
Invoice payment confirmed,0
Your account settings were updated,0
please share your OTP,1
url,label
https://www.google.com,0
https://www.amazon.in,0
https://www.facebook.com,0
https://www.icicibank.com,0
https://www.paytm.com,0
https://www.netflix.com,0
https://www.microsoft.com,0
https://www.apple.com,0
https://www.wikipedia.org,0
https://www.linkedin.com,0
https://www.youtube.com,0
https://www.sbi.co.in,0
https://www.flipkart.com,0
https://www.irctc.co.in,0
https://www.github.com,0

http://paypaI-login.com,1
https://secure-google-verify.net,1
http://amazon-refund-alert.info,1
https://bankofindia-update.xyz,1
http://upi-verification-now.online,1
https://facebook-security-check.tk,1
http://icici-reward-points.club,1
https://netflix-billing-fix.support,1
https://login-paytm-wallet.help,1
http://sbi-kyc-update.link,1
https://flipkart-prize-winner.top,1
http://irctc-ticket-refund.live,1
https://account-google-reset.site,1
http://secure-login-microsoft.xyz,1
https://appleid-confirmation.support,1
